full_name,google_scholar_id,google_scholar
Francois PS Chin,0g3qbqgAAAAJ,https://scholar.google.com/citations?hl=en&user=0g3qbqgAAAAJ
Benjamin Premkumar,JqOP230AAAAJ,https://scholar.google.com/citations?hl=en&user=JqOP230AAAAJ
Rajendra Prasad Sirigina,3MBdKGEAAAAJ,https://scholar.google.com/citations?hl=en&user=3MBdKGEAAAAJ
Swaminathan Ramabadran,clwEnRYAAAAJ,https://scholar.google.com/citations?hl=en&user=clwEnRYAAAAJ
Tan Zheng Hui Ernest,gw75oM4AAAAJ,https://scholar.google.com/citations?hl=en&user=gw75oM4AAAAJ
Ernest Kurniawan,Or5lsa4AAAAJ,https://scholar.google.com/citations?hl=en&user=Or5lsa4AAAAJ
Ashish James,3JibwUYAAAAJ,https://scholar.google.com/citations?hl=en&user=3JibwUYAAAAJ
Shubha Sharma,qUCavcMAAAAJ,https://scholar.google.com/citations?hl=en&user=qUCavcMAAAAJ
Vinod A Prasad,yhYd0_4AAAAJ,https://scholar.google.com/citations?hl=en&user=yhYd0_4AAAAJ
Ponnu Jacob,jly2hcEAAAAJ,https://scholar.google.com/citations?hl=en&user=jly2hcEAAAAJ
Sudhan Majhi,cMpo0YMAAAAJ,https://scholar.google.com/citations?hl=en&user=cMpo0YMAAAAJ
Kai Yang,irQuUaYAAAAJ,https://scholar.google.com/citations?hl=en&user=irQuUaYAAAAJ
Ying-Chang Liang,HybIiJ8AAAAJ,https://scholar.google.com/citations?hl=en&user=HybIiJ8AAAAJ
Nguyen Duy Duong,Vj6MR88AAAAJ,https://scholar.google.com/citations?hl=en&user=Vj6MR88AAAAJ
Narendar Madhavan,Y4AHTZIAAAAJ,https://scholar.google.com/citations?hl=en&user=Y4AHTZIAAAAJ
Fumiyuki Adachi,f7PIxx0AAAAJ,https://scholar.google.com/citations?hl=en&user=f7PIxx0AAAAJ
Yegnanarayana Bayya,e9YThaYAAAAJ,https://scholar.google.com/citations?hl=en&user=e9YThaYAAAAJ
Guohua Wang,RZkOfT4AAAAJ,https://scholar.google.com/citations?hl=en&user=RZkOfT4AAAAJ
Hari Vishnu,0X4Uyw0AAAAJ,https://scholar.google.com/citations?hl=en&user=0X4Uyw0AAAAJ
"Pham Duc Minh, PhD",oDTmrosAAAAJ,https://scholar.google.com/citations?hl=en&user=oDTmrosAAAAJ
Abhishek Ambede,Qx64584AAAAJ,https://scholar.google.com/citations?hl=en&user=Qx64584AAAAJ
Sudhakara rao Yepuri,SEQ4mpEAAAAJ,https://scholar.google.com/citations?hl=en&user=SEQ4mpEAAAAJ
Zhenzhen Ye,XjvtqtIAAAAJ,https://scholar.google.com/citations?hl=en&user=XjvtqtIAAAAJ
Dusit (Tao) Niyato,T8sVhLMAAAAJ,https://scholar.google.com/citations?hl=en&user=T8sVhLMAAAAJ
Chong Meng Samson See,0W_IaAUAAAAJ,https://scholar.google.com/citations?hl=en&user=0W_IaAUAAAAJ
A Alphones,6YG2lisAAAAJ,https://scholar.google.com/citations?hl=en&user=6YG2lisAAAAJ
Libin K Mathew,K35KI1QAAAAJ,https://scholar.google.com/citations?hl=en&user=K35KI1QAAAAJ
Duc Minh Pham,bn4qZscAAAAJ,https://scholar.google.com/citations?hl=en&user=bn4qZscAAAAJ
Thinh Hung Pham,HsMFSVsAAAAJ,https://scholar.google.com/citations?hl=en&user=HsMFSVsAAAAJ
Walid Saad,kYDNA0UAAAAJ,https://scholar.google.com/citations?hl=en&user=kYDNA0UAAAAJ
Zander (Zhongding) Lei,uLBjtvYAAAAJ,https://scholar.google.com/citations?hl=en&user=uLBjtvYAAAAJ
Weidong Xiang,A1miPskAAAAJ,https://scholar.google.com/citations?hl=en&user=A1miPskAAAAJ
Shreejith Shanker,TySIJ-QAAAAJ,https://scholar.google.com/citations?hl=en&user=TySIJ-QAAAAJ
Qian (Clara) Li,49nYeN8AAAAJ,https://scholar.google.com/citations?hl=en&user=49nYeN8AAAAJ
Edmund Lai,vPIlibUAAAAJ,https://scholar.google.com/citations?hl=en&user=vPIlibUAAAAJ
Weihua Zhuang,Py1onlEAAAAJ,https://scholar.google.com/citations?hl=en&user=Py1onlEAAAAJ
Xionghu zhong,V-ISRXwAAAAJ,https://scholar.google.com/citations?hl=en&user=V-ISRXwAAAAJ
Olga Sourina,Xetgr0kAAAAJ,https://scholar.google.com/citations?user=Xetgr0kAAAAJ&hl=en
Shahzad Rasool,ERuoo-UAAAAJ,https://scholar.google.com/citations?user=ERuoo-UAAAAJ&hl=en
Wenting Dai,y4z7GYUAAAAJ,https://scholar.google.com/citations?user=y4z7GYUAAAAJ&hl=en
Lei Wei,MempzJMAAAAJ,https://scholar.google.com/citations?user=MempzJMAAAAJ&hl=en
Dr Valery Adzhiev,7gsH4MUAAAAJ,https://scholar.google.com/citations?user=7gsH4MUAAAAJ&hl=en
DR. VLADIMIR KULISH,11sik5YAAAAJ,https://scholar.google.com/citations?user=11sik5YAAAAJ&hl=en
Jian Cui,YbznojwAAAAJ,https://scholar.google.com/citations?user=YbznojwAAAAJ&hl=en
Tet Sen Howe,vbJiXO4AAAAJ,https://scholar.google.com/citations?user=vbJiXO4AAAAJ&hl=en
Xingzi Zhang,yJACRtIAAAAJ,https://scholar.google.com/citations?user=yJACRtIAAAAJ&hl=en
Shivam Bhasin,ORZytY8AAAAJ,https://scholar.google.com/citations?hl=en&user=ORZytY8AAAAJ
Debjyoti Bhattacharjee,A9_fFPkAAAAJ,https://scholar.google.com/citations?hl=en&user=A9_fFPkAAAAJ
Rainer Leupers,f57N-_oAAAAJ,https://scholar.google.com/citations?hl=en&user=f57N-_oAAAAJ
Prasanna Ravi,9Oy9-W0AAAAJ,https://scholar.google.com/citations?hl=en&user=9Oy9-W0AAAAJ
Heinrich Meyr,120B2eYAAAAJ,https://scholar.google.com/citations?hl=en&user=120B2eYAAAAJ
Anubhab Baksi,25vRQA0AAAAJ,https://scholar.google.com/citations?hl=en&user=25vRQA0AAAAJ
Debdeep Mukhopadhyay,lfhvrhYAAAAJ,https://scholar.google.com/citations?hl=en&user=lfhvrhYAAAAJ
Dr. Ayesha Khalid,YXQolr4AAAAJ,https://scholar.google.com/citations?hl=en&user=YXQolr4AAAAJ
Kwok-Yan Lam,NDMIYKsAAAAJ,https://scholar.google.com/citations?hl=en&user=NDMIYKsAAAAJ
Jawad Haj-Yahya,Pv1CVcIAAAAJ,https://scholar.google.com/citations?hl=en&user=Pv1CVcIAAAAJ
Goutam Paul,PbIhVccAAAAJ,https://scholar.google.com/citations?hl=en&user=PbIhVccAAAAJ
Zheng Wang,j-zijKAAAAAJ,https://scholar.google.com/citations?hl=en&user=j-zijKAAAAAJ
Manaar Alam,46jmlGgAAAAJ,https://scholar.google.com/citations?hl=en&user=46jmlGgAAAAJ
Vikramkumar Pudi,Gz9yzh4AAAAJ,https://scholar.google.com/citations?hl=en&user=Gz9yzh4AAAAJ
Farhad Merchant,wmBOgjwAAAAJ,https://scholar.google.com/citations?hl=en&user=wmBOgjwAAAAJ
Sourav Sen Gupta,I8gZp-gAAAAJ,https://scholar.google.com/citations?hl=en&user=I8gZp-gAAAAJ
Eike Linn,Sd82LwQAAAAJ,https://scholar.google.com/citations?hl=en&user=Sd82LwQAAAAJ
Naina Gupta,8XCwaoIAAAAJ,https://scholar.google.com/citations?hl=en&user=8XCwaoIAAAAJ
Jakub Breier,LOENK6IAAAAJ,https://scholar.google.com/citations?hl=en&user=LOENK6IAAAAJ
Vishal Dey,O2UtTjEAAAAJ,https://scholar.google.com/citations?hl=en&user=O2UtTjEAAAAJ
Avi Mendelson,PiREobkAAAAJ,https://scholar.google.com/citations?hl=en&user=PiREobkAAAAJ
Mustafa Khairallah,WmyOI90AAAAJ,https://scholar.google.com/citations?hl=en&user=WmyOI90AAAAJ
Sujoy Sinha Roy,58_wa_4AAAAJ,https://scholar.google.com/citations?hl=en&user=58_wa_4AAAAJ
Subhamoy Maitra,PEDk2XQAAAAJ,https://scholar.google.com/citations?hl=en&user=PEDk2XQAAAAJ
Rainer Waser,nT_D8NAAAAAJ,https://scholar.google.com/citations?hl=en&user=nT_D8NAAAAAJ
Swaroop Ghosh,RJ1JOgMAAAAJ,https://scholar.google.com/citations?hl=en&user=RJ1JOgMAAAAJ
Pierre - Emmanuel GAILLARDON,Hlc_2eEAAAAJ,https://scholar.google.com/citations?hl=en&user=Hlc_2eEAAAAJ
Giovanni De Micheli,7SUnVDsAAAAJ,https://scholar.google.com/citations?hl=en&user=7SUnVDsAAAAJ
Luca Amarù,pQ5i4LIAAAAJ,https://scholar.google.com/citations?hl=en&user=pQ5i4LIAAAAJ
Yaswanth Tavva,CGIhKE8AAAAJ,https://scholar.google.com/citations?hl=en&user=CGIhKE8AAAAJ
Anirban Chakraborty,QzcCWLMAAAAJ,https://scholar.google.com/citations?hl=en&user=QzcCWLMAAAAJ
Nandish Chattopadhyay,ox0mbAcAAAAJ,https://scholar.google.com/citations?hl=en&user=ox0mbAcAAAAJ
Robert Wille,dWkUqVsAAAAJ,https://scholar.google.com/citations?hl=en&user=dWkUqVsAAAAJ
Andreas Burg,Uf6DIFMAAAAJ,https://scholar.google.com/citations?hl=en&user=Uf6DIFMAAAAJ
Tarun Vatwani,ZDT_hSAAAAAJ,https://scholar.google.com/citations?hl=en&user=ZDT_hSAAAAAJ
Ritu Ranjan Shrivastwa,wSA9A9AAAAAJ,https://scholar.google.com/citations?hl=en&user=wSA9A9AAAAAJ
MM Wong,Ja3IZYgAAAAJ,https://scholar.google.com/citations?hl=en&user=Ja3IZYgAAAAJ
Soumyendu Raha,dlLdZhUAAAAJ,https://scholar.google.com/citations?hl=en&user=dlLdZhUAAAAJ
Rolf Drechsler,9v_MAAIAAAAJ,https://scholar.google.com/citations?hl=en&user=9v_MAAIAAAAJ
Mayank Raikwar,fJRJ_rgAAAAJ,https://scholar.google.com/citations?hl=en&user=fJRJ_rgAAAAJ
Hafizur Rahaman,s73BsKIAAAAJ,https://scholar.google.com/citations?hl=en&user=s73BsKIAAAAJ
Nikil Dutt,CpBXPVoAAAAJ,https://scholar.google.com/citations?hl=en&user=CpBXPVoAAAAJ
Dr. Suman Deb,NTdnAScAAAAJ,https://scholar.google.com/citations?hl=en&user=NTdnAScAAAAJ
Vinay BY Kumar,raVrNBEAAAAJ,https://scholar.google.com/citations?hl=en&user=raVrNBEAAAAJ
